Date,"('value', 'sum')","('value', 'mean')","('value', 'std')",Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2010-08-03,51767.73999999997,54.37787815126047,235.6668359999657,0.06,0.065,0.059000000000000004,0.06,9821.46,606.05,0.06
2010-08-04,46467.56000000009,79.02646258503417,165.77944252311443,0.06,0.062310000000000004,0.057,0.057,3494.0,210.77,0.06
2010-08-05,50507.8800000006,62.74270807453491,214.71902434702216,0.057,0.061,0.057999999999999996,0.061,5034.07,303.61,0.06
2010-08-06,34860.140000000036,85.02473170731716,285.9945022094767,0.061,0.0624,0.0607,0.0623,1395.0,85.91,0.06
2010-08-07,22374.789999999975,68.00848024316102,232.34535263608333,0.0623,0.0622,0.059000000000000004,0.059000000000000004,2619.0,157.34,0.06
2010-08-08,24145.379999999925,46.79337209302311,152.04939288138286,0.059000000000000004,0.061,0.059000000000000004,0.0609,2201.0,132.6,0.06
2010-08-09,94291.03000000012,173.64830570902416,752.7384686177371,0.0609,0.0735,0.0593,0.071,13631.09,886.93,0.07
2010-08-10,32149.319999999985,81.39068354430376,203.9384578335871,0.071,0.0709,0.06651,0.07,1310.39,88.87,0.07
2010-08-11,68324.32000000008,138.30834008097182,459.1762068257522,0.07,0.07541,0.06,0.067,14061.18,1015.64,0.07
2010-08-12,45980.68999999984,57.91018891687638,326.0581313891482,0.067,0.07,0.06141,0.07,2062.31,134.49,0.07
2010-08-13,26763.53999999996,60.41431151241526,167.08305315540176,0.07,0.068,0.0645,0.0645,3591.77,233.8,0.07
2010-08-14,31256.54999999999,62.01696428571426,120.8591057646602,0.0645,0.0695,0.0645,0.067,4404.2,295.31,0.07
2010-08-15,30846.919999999995,82.25845333333332,205.0571484559745,0.067,0.067,0.065,0.06529,4462.87,294.95,0.07
2010-08-16,73739.23999999999,134.07134545454545,520.1001276306245,0.06529,0.0679,0.062,0.0655,10731.47,696.8,0.06
2010-08-17,53463.33999999998,126.09278301886788,468.1748266124104,0.0655,0.0769,0.06242999999999999,0.07,13185.74,915.0,0.07
2010-08-18,44545.77000000004,84.84908571428579,279.47422790124034,0.07,0.0733,0.067,0.068,2953.98,203.83,0.07
2010-08-19,27377.89999999996,65.49736842105254,225.0280456046444,0.068,0.0679,0.0667,0.0667,741.12,50.04,0.07
2010-08-20,38955.07000000004,76.38249019607852,288.1553938154651,0.0667,0.0667,0.065,0.0655,4199.75,276.41,0.07
2010-08-21,50173.83000000006,107.66916309012889,458.460052976731,0.0655,0.0669,0.0644,0.0664,10443.86,688.51,0.07
2010-08-22,27917.669999999973,66.94884892086324,155.9422961004963,0.0664,0.0664,0.0612,0.066,18648.97,1183.64,0.06
2010-08-23,26950.55999999996,61.11238095238087,161.11087937842947,0.066,0.06688999999999999,0.063,0.06491,4297.49,281.88,0.07
